Type,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,70,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03
1,50,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0
1,49,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0
1,24,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0
1,7,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0
1,69,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16
1,12,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0
2,101,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22
2,132,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1
2,85,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0
2,122,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21
2,92,1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0
2,120,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0
2,103,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2
3,157,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0
3,151,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17
5,176,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28
6,185,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0
7,213,1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0
7,201,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0
7,186,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0
